scenario,scenario_type,case_key,case_name,trades,win_rate,expected_return,total_return_pct,max_drawdown_pct,avg_holding_days,tp_count,sl_count,timeout_count,top20_win_rate,prob65_win_rate,avg_peak_profit_pct,avg_trade_drawdown_pct
2025_ai_bubble,bull,combo_regime_strict__pullback2__margin_le5,地合い厳格化 x 反落-2% x 信用倍率5倍以下,565,57.5,2.968,67.533,-9.733,5.71,224,219,122,79.6,72.9,8.606,-2.775
2025_ai_bubble,bull,combo_regime_strict__pullback2__short_pressure,地合い厳格化 x 反落-2% x 売り残比率10%以上,612,59.0,2.941,75.916,-4.725,5.81,250,228,134,80.3,71.6,8.7,-2.714
2025_ai_bubble,bull,combo_regime_strict__rsi70,地合い厳格化 x RSI70反落,810,65.6,2.998,93.256,-11.053,4.54,531,277,2,90.1,81.5,8.066,-2.534
2025_ai_bubble,bull,combo_regime_strict__rsi70__margin_le10,地合い厳格化 x RSI70反落 x 信用倍率10倍以下,673,63.6,2.704,98.447,-6.572,4.44,425,245,3,82.1,75.1,7.727,-2.593
2025_ai_bubble,bull,combo_regime_strict__rsi70__margin_le20,地合い厳格化 x RSI70反落 x 信用倍率20倍以下,701,64.3,2.827,91.132,-5.651,4.48,450,249,2,83.6,75.7,7.756,-2.564
2025_ai_bubble,bull,combo_regime_strict__rsi70__margin_le5,地合い厳格化 x RSI70反落 x 信用倍率5倍以下,617,62.9,2.645,74.461,-8.068,4.5,385,228,4,82.1,76.8,7.712,-2.598
2025_ai_bubble,bull,combo_regime_strict__rsi70__short_pressure,地合い厳格化 x RSI70反落 x 売り残比率10%以上,673,63.6,2.704,98.447,-6.572,4.44,425,245,3,82.1,75.1,7.727,-2.593
2025_ai_bubble,bull,combo_regime_strict__trailing3,地合い厳格化 x トレーリング3%,983,57.1,0.971,21.345,-6.018,1.76,557,111,4,73.5,69.2,4.182,-1.381
2025_ai_bubble,bull,combo_regime_strict__trailing3__margin_le10,地合い厳格化 x トレーリング3% x 信用倍率10倍以下,845,55.4,0.988,33.249,-10.829,1.86,465,101,3,76.9,70.2,4.226,-1.356
2025_ai_bubble,bull,combo_regime_strict__trailing3__margin_le20,地合い厳格化 x トレーリング3% x 信用倍率20倍以下,884,55.7,0.911,22.413,-10.676,1.86,486,101,6,70.5,67.2,4.133,-1.342
2025_ai_bubble,bull,combo_regime_strict__trailing3__margin_le5,地合い厳格化 x トレーリング3% x 信用倍率5倍以下,785,52.7,0.762,9.116,-7.847,1.82,412,105,2,75.8,68.4,4.031,-1.45
2025_ai_bubble,bull,combo_regime_strict__trailing3__short_pressure,地合い厳格化 x トレーリング3% x 売り残比率10%以上,845,55.4,0.988,33.249,-10.829,1.86,465,101,3,76.9,70.2,4.226,-1.356
2025_ai_bubble,bull,combo_regime_strict__trailing5,地合い厳格化 x トレーリング5%,848,56.1,1.298,36.78,-14.663,4.23,440,198,37,79.3,74.0,6.472,-2.137
2025_ai_bubble,bull,combo_regime_strict__trailing5__margin_le10,地合い厳格化 x トレーリング5% x 信用倍率10倍以下,710,54.1,1.233,39.649,-10.445,4.29,358,168,27,81.7,72.6,6.425,-2.15
2025_ai_bubble,bull,combo_regime_strict__trailing5__margin_le20,地合い厳格化 x トレーリング5% x 信用倍率20倍以下,741,54.9,1.265,30.877,-9.443,4.31,374,180,34,79.7,70.7,6.418,-2.133
2025_ai_bubble,bull,combo_regime_strict__trailing5__margin_le5,地合い厳格化 x トレーリング5% x 信用倍率5倍以下,647,52.1,1.018,20.375,-10.832,4.18,316,158,22,79.1,72.9,6.236,-2.24
2025_ai_bubble,bull,combo_regime_strict__trailing5__short_pressure,地合い厳格化 x トレーリング5% x 売り残比率10%以上,710,54.1,1.233,39.649,-10.445,4.29,358,168,27,81.7,72.6,6.425,-2.15
2025_ai_bubble,bull,combo_sector_limited__atr15,セクター制限 x ATR 1.5倍,981,46.4,1.462,60.637,-17.224,4.94,451,290,4,73.0,68.2,7.432,-2.665
2025_ai_bubble,bull,combo_sector_limited__atr15__margin_le10,セクター制限 x ATR 1.5倍 x 信用倍率10倍以下,912,44.8,1.245,40.555,-15.144,4.99,407,259,2,70.3,69.0,6.762,-2.594
2025_ai_bubble,bull,combo_sector_limited__atr15__margin_le20,セクター制限 x ATR 1.5倍 x 信用倍率20倍以下,938,44.0,1.357,53.548,-7.817,4.95,412,251,1,67.4,64.8,6.909,-2.53
2025_ai_bubble,bull,combo_sector_limited__atr15__margin_le5,セクター制限 x ATR 1.5倍 x 信用倍率5倍以下,872,42.2,1.059,29.431,-13.934,4.84,364,267,4,70.7,69.3,6.577,-2.696
2025_ai_bubble,bull,combo_sector_limited__atr15__short_pressure,セクター制限 x ATR 1.5倍 x 売り残比率10%以上,912,44.8,1.245,40.555,-15.144,4.99,407,259,2,70.3,69.0,6.762,-2.594
2025_ai_bubble,bull,combo_sector_limited__fixed10,セクター制限 x 固定10%,917,51.1,2.192,67.34,-14.25,5.48,300,391,226,73.8,70.5,6.767,-3.05
2025_ai_bubble,bull,combo_sector_limited__fixed10__margin_le10,セクター制限 x 固定10% x 信用倍率10倍以下,835,49.5,1.708,48.013,-7.424,5.8,227,368,240,66.5,65.0,6.321,-3.192
2025_ai_bubble,bull,combo_sector_limited__fixed10__margin_le20,セクター制限 x 固定10% x 信用倍率20倍以下,866,50.6,2.002,60.06,-9.686,5.61,264,372,230,71.7,69.4,6.441,-3.131
2025_ai_bubble,bull,combo_sector_limited__fixed10__margin_le5,セクター制限 x 固定10% x 信用倍率5倍以下,783,48.9,1.593,46.326,-14.412,5.79,204,351,228,70.5,69.2,6.166,-3.225
