scenario,mix_name,date,daily_return_pct,equity,drawdown_pct,combo_current__pullback2__margin_le20_return_pct,combo_current__ma5__margin_le20_return_pct,combo_current__rsi70__margin_le5_return_pct,combo_current__fixed10_return_pct
2024_ai_bubble,defensive_mix,2024-04-04,-0.1135,137.1116,-0.7174,-0.0411,-0.0279,0.0,-0.4712
2024_ai_bubble,defensive_mix,2024-04-05,0.0798,137.1914,-0.6596,0.1996,0.0,0.0,0.0
2024_ai_bubble,defensive_mix,2024-04-06,0.0178,137.2092,-0.6467,0.0,0.0,-0.1929,0.3783
2024_ai_bubble,defensive_mix,2024-04-07,0.1964,137.4055,-0.5045,0.2716,0.0259,0.0807,0.3046
2024_ai_bubble,defensive_mix,2024-04-08,0.1231,137.5286,-0.4153,0.24,0.013,0.0,0.1291
2024_ai_bubble,defensive_mix,2024-04-09,0.6295,138.1582,0.0,1.0385,-0.1554,0.8518,-0.1293
2024_ai_bubble,defensive_mix,2024-04-10,-0.0281,138.13,-0.0204,0.0,0.1245,-0.0813,-0.081
2024_ai_bubble,defensive_mix,2024-04-11,0.231,138.3611,0.0,-0.0881,0.3846,0.9274,-0.252
2024_ai_bubble,defensive_mix,2024-04-12,0.3384,138.6995,0.0,0.6511,2.3749,-0.0988,-0.6494
2024_ai_bubble,defensive_mix,2024-04-13,-0.4547,138.2448,-0.3278,-0.6838,-1.0171,-0.2513,-0.0203
2024_ai_bubble,defensive_mix,2024-04-14,-0.1075,138.1373,-0.4053,0.0088,-0.1032,0.0343,-0.5552
2024_ai_bubble,defensive_mix,2024-04-15,0.001,138.1383,-0.4046,0.0,0.0026,0.0024,0.0
2024_ai_bubble,defensive_mix,2024-04-16,-0.2548,137.8834,-0.5884,-0.3628,-0.3724,0.0,-0.3624
2024_ai_bubble,defensive_mix,2024-04-17,-0.1464,137.737,-0.6939,-0.0998,-0.2811,-0.2611,0.0
